    0.00 
    0.20 V
      frequency    real         imag
      251.84    -0.0000818    -0.0006836
      251.85    -0.0002858    -0.0008095
      251.86    -0.0002903    -0.0009393
      251.87    -0.0001847    -0.0009308
      251.88    -0.0003566    -0.0007784
      251.89    -0.0002277    -0.0008419
      251.90    -0.0002133    -0.0008818
      251.91    -0.0002375    -0.0007440
      251.93    -0.0001689    -0.0007115
      251.94    -0.0002896    -0.0008639
      251.95    -0.0001901    -0.0007358
      251.96    -0.0002892    -0.0007152
      251.97    -0.0002588    -0.0006667
      251.98    -0.0002890    -0.0008267
      251.99    -0.0004314    -0.0007413
      252.00    -0.0003560    -0.0007835
      252.01    -0.0001694    -0.0007996
      252.02    -0.0002082    -0.0007519
      252.04    -0.0001045    -0.0006991
      252.05    -0.0002252    -0.0008727
      252.06    -0.0002932    -0.0006900
      252.07    -0.0002423    -0.0008012
      252.08    -0.0001532    -0.0007736
      252.09    -0.0002989    -0.0008584
      252.10    -0.0003287    -0.0008488
      252.11    -0.0002102    -0.0008171
      252.12    -0.0001825    -0.0007111
      252.13    -0.0000939    -0.0008530
      252.15    -0.0002465    -0.0007923
      252.16    -0.0001721    -0.0007635
      252.17    -0.0003249    -0.0009091
      252.18    -0.0002782    -0.0009240
      252.19    -0.0002568    -0.0007781
      252.20    -0.0001186    -0.0009071
      252.21    -0.0001451    -0.0009188
      252.22    -0.0002310    -0.0009028
      252.23    -0.0002958    -0.0007992
      252.24    -0.0003577    -0.0008702
      252.26    -0.0001933    -0.0007362
      252.27    -0.0003565    -0.0007062
      252.28    -0.0002976    -0.0007206
      252.29    -0.0002432    -0.0009099
      252.30    -0.0002352    -0.0008133
      252.31    -0.0001761    -0.0008547
      252.32    -0.0002841    -0.0006430
      252.33    -0.0001660    -0.0008895
      252.34    -0.0002642    -0.0006486
      252.35    -0.0002383    -0.0007437
      252.37    -0.0001166    -0.0008320
      252.38    -0.0002895    -0.0007510
      252.39    -0.0000846    -0.0007874
      252.40    -0.0003806    -0.0008443
      252.41    -0.0002308    -0.0008772
      252.42    -0.0004017    -0.0008073
      252.43    -0.0003006    -0.0005650
      252.44    -0.0004234    -0.0006588
      252.45    -0.0003452    -0.0008854
      252.46    -0.0002828    -0.0009092
      252.48    -0.0001380    -0.0009271
      252.49    -0.0002912    -0.0009686
      252.50    -0.0003040    -0.0007732
      252.51    -0.0003616    -0.0009568
      252.52    -0.0002473    -0.0008288
      252.53    -0.0003111    -0.0008980
      252.54    -0.0003064    -0.0009277
      252.55    -0.0001016    -0.0008794
      252.56    -0.0003143    -0.0009477
      252.57    -0.0001711    -0.0009775
      252.59    -0.0003793    -0.0009203
      252.60    -0.0004187    -0.0007772
      252.61    -0.0002538    -0.0009237
      252.62    -0.0002836    -0.0008505
      252.63    -0.0000963    -0.0009719
      252.64    -0.0003692    -0.0007847
      252.65    -0.0003042    -0.0007391
      252.66    -0.0002980    -0.0006665
      252.67    -0.0001525    -0.0009287
      252.68    -0.0003471    -0.0007373
      252.70    -0.0003182    -0.0008420
      252.71    -0.0002545    -0.0009576
      252.72    -0.0001070    -0.0008667
      252.73    -0.0003642    -0.0005913
      252.74    -0.0003320    -0.0008619
