   37.56 C
      frequency    real         imag
      251.84    -0.0011198    -0.0021857
      251.85    -0.0008932    -0.0022440
      251.86    -0.0010176    -0.0021281
      251.87    -0.0008584    -0.0022954
      251.88    -0.0008922    -0.0024318
      251.89    -0.0007378    -0.0022426
      251.90    -0.0009043    -0.0022712
      251.91    -0.0008648    -0.0022682
      251.93    -0.0009234    -0.0021926
      251.94    -0.0010230    -0.0022047
      251.95    -0.0008550    -0.0023038
      251.96    -0.0008852    -0.0022376
      251.97    -0.0009861    -0.0021850
      251.98    -0.0011030    -0.0023191
      251.99    -0.0008382    -0.0024359
      252.00    -0.0009958    -0.0020759
      252.01    -0.0010100    -0.0021210
      252.02    -0.0009696    -0.0022182
      252.04    -0.0009464    -0.0023411
      252.05    -0.0008009    -0.0023708
      252.06    -0.0009020    -0.0023137
      252.07    -0.0006880    -0.0022988
      252.08    -0.0009756    -0.0022742
      252.09    -0.0008858    -0.0022337
      252.10    -0.0009060    -0.0022217
      252.11    -0.0011356    -0.0022472
      252.12    -0.0008986    -0.0021671
      252.13    -0.0008653    -0.0023166
      252.15    -0.0009674    -0.0024142
      252.16    -0.0009312    -0.0023081
      252.17    -0.0009515    -0.0023195
      252.18    -0.0008547    -0.0022871
      252.19    -0.0007624    -0.0023569
      252.20    -0.0009103    -0.0023649
      252.21    -0.0008951    -0.0022335
      252.22    -0.0008920    -0.0022172
      252.23    -0.0007315    -0.0021803
      252.24    -0.0009851    -0.0023806
      252.26    -0.0008156    -0.0022885
      252.27    -0.0008821    -0.0022395
      252.28    -0.0011476    -0.0022797
      252.29    -0.0009683    -0.0023990
      252.30    -0.0009481    -0.0023375
      252.31    -0.0010364    -0.0025073
      252.32    -0.0009326    -0.0023728
      252.33    -0.0010440    -0.0022762
      252.34    -0.0008954    -0.0021707
      252.35    -0.0009468    -0.0022191
      252.37    -0.0008224    -0.0022034
      252.38    -0.0008393    -0.0024700
      252.39    -0.0009526    -0.0022908
      252.40    -0.0010929    -0.0023198
      252.41    -0.0009540    -0.0023360
      252.42    -0.0010404    -0.0023106
      252.43    -0.0008973    -0.0022165
      252.44    -0.0011169    -0.0023067
      252.45    -0.0007931    -0.0023477
      252.46    -0.0010367    -0.0022632
      252.48    -0.0010153    -0.0021734
      252.49    -0.0010089    -0.0024179
      252.50    -0.0008875    -0.0023532
      252.51    -0.0009675    -0.0022964
      252.52    -0.0009300    -0.0022151
      252.53    -0.0010675    -0.0022857
      252.54    -0.0008598    -0.0023026
      252.55    -0.0009671    -0.0022623
      252.56    -0.0009778    -0.0023360
      252.57    -0.0007965    -0.0022291
      252.59    -0.0009650    -0.0022633
      252.60    -0.0009873    -0.0022497
      252.61    -0.0010317    -0.0022785
      252.62    -0.0010168    -0.0022488
      252.63    -0.0010854    -0.0023737
      252.64    -0.0011380    -0.0021597
      252.65    -0.0011173    -0.0023073
      252.66    -0.0009681    -0.0022859
      252.67    -0.0009737    -0.0023915
      252.68    -0.0008911    -0.0023059
      252.70    -0.0010442    -0.0022716
      252.71    -0.0009758    -0.0024264
      252.72    -0.0012186    -0.0021788
      252.73    -0.0011087    -0.0020675
      252.74    -0.0008522    -0.0022625
      252.75    -0.0009795    -0.0021458
      252.76    -0.0009400    -0.0022782
      252.77    -0.0008830    -0.0022692
      252.78    -0.0010073    -0.0023385
      252.79    -0.0009855    -0.0021520
      252.81    -0.0010111    -0.0021871
      252.82    -0.0011985    -0.0022711
      252.83    -0.0010632    -0.0022168
      252.84    -0.0009935    -0.0023633
      252.85    -0.0010040    -0.0021753
      252.86    -0.0010508    -0.0023770
      252.87    -0.0009804    -0.0021247
      252.88    -0.0010394    -0.0023538
      252.89    -0.0010003    -0.0020777
      252.90    -0.0010454    -0.0024533
      252.92    -0.0010850    -0.0022288
      252.93    -0.0010988    -0.0022301
      252.94    -0.0012080    -0.0021591
      252.95    -0.0009564    -0.0022556
      252.96    -0.0010023    -0.0021449
      252.97    -0.0009675    -0.0022157
      252.98    -0.0011336    -0.0022435
      252.99    -0.0010103    -0.0023821
      253.00    -0.0008887    -0.0022164
      253.01    -0.0011384    -0.0021872
      253.03    -0.0010336    -0.0020243
      253.04    -0.0010163    -0.0022046
      253.05    -0.0009819    -0.0023565
      253.06    -0.0010147    -0.0023023
      253.07    -0.0011146    -0.0023329
      253.08    -0.0012089    -0.0022849
      253.09    -0.0011316    -0.0023212
      253.10    -0.0008931    -0.0023839
      253.11    -0.0009099    -0.0022137
      253.12    -0.0010187    -0.0022928
      253.14    -0.0011528    -0.0021461
      253.15    -0.0011113    -0.0023248
      253.16    -0.0011619    -0.0021899
      253.17    -0.0010437    -0.0020701
